text_type,classifier,classifier_name,use_hash,stopwords,analyzer_type,accuracy,training_time,precision,recall,f1
raw,ET,Extra Trees Classifier,True,Spacy,stemmer,0.26905829596412556,2.2194271087646484,0.5647274672425774,0.26905829596412556,0.16246373642348197
raw,ET,Extra Trees Classifier,False,Spacy,lemmatizer,0.31390134529147984,1.0023250579833984,0.4877133330048128,0.31390134529147984,0.23185439769664337
raw,ET,Extra Trees Classifier,True,Spacy,lemmatizer,0.3452914798206278,0.942680835723877,0.6020823289326825,0.3452914798206278,0.26782020161790493
raw,ET,Extra Trees Classifier,False,Builtin,stemmer,0.27802690582959644,2.2476279735565186,0.600303244863075,0.27802690582959644,0.1834751649435141
raw,ET,Extra Trees Classifier,True,Builtin,stemmer,0.27802690582959644,2.221203088760376,0.1855779188396653,0.27802690582959644,0.17000412071264093
raw,ET,Extra Trees Classifier,False,Builtin,lemmatizer,0.29596412556053814,0.9864039421081543,0.569115239518827,0.29596412556053814,0.2116867803857749
raw,ET,Extra Trees Classifier,True,Builtin,lemmatizer,0.26905829596412556,0.9626519680023193,0.6042268502290502,0.26905829596412556,0.16842045281266332
raw,ET,Extra Trees Classifier,False,NoStopwords,stemmer,0.30493273542600896,3.0470681190490723,0.3151602852299351,0.30493273542600896,0.2410433637826084
raw,ET,Extra Trees Classifier,True,NoStopwords,stemmer,0.2600896860986547,3.0296220779418945,0.49636724359422646,0.2600896860986547,0.1988236757207312
raw,ET,Extra Trees Classifier,False,NoStopwords,lemmatizer,0.4080717488789238,1.282674789428711,0.47815416313174164,0.4080717488789238,0.31502157415033777
raw,ET,Extra Trees Classifier,True,NoStopwords,lemmatizer,0.25112107623318386,1.1866331100463867,0.27158643726548914,0.25112107623318386,0.16336937549115976
clean,SVM-Linear,Support Vector Machine (linear),False,Custom,stemmer,0.9865470852017937,10.999191999435425,0.9866710585554077,0.9865470852017937,0.9865123462432706
clean,SVM-Linear,Support Vector Machine (linear),True,Custom,stemmer,0.9730941704035875,8.495544910430908,0.9739295089139233,0.9730941704035875,0.9730472402943607
clean,SVM-Linear,Support Vector Machine (linear),False,Custom,lemmatizer,0.9820627802690582,10.602054119110107,0.9823807582551977,0.9820627802690582,0.9820782683128048
